EmployeeNumber,MonthlyIncome,MonthlyRate,DailyRate,Age,YearsAtCompany,HourlyRate,YearsWithCurrManager,BusinessTravel,OverTime,NumCompaniesWorked,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,EducationField,TotalWorkingYears,PercentSalaryHike,YearsSinceLastPromotion,JobRole,YearsInCurrentRole,StockOptionLevel,WorkLifeBalance,JobInvolvement,TrainingTimesLastYear,Gender,Department,MaritalStatus,JobLevel,RelationshipSatisfaction,StandardHours,PerformanceRating,Over18,EmployeeCount,Education
1.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,1140.0,4033.0,15834.0,1003.0,34.0,3.0,95.0,2.0,2.0,2.0,3.0,4.0,5.0,11.0,0.0,2.0,0.0,2.0,3.0,3.0,2.0,4.0,80.0,3.0,1.0,2.0
2.0,0.0,1.0,5.0,1.0,1.0,2.0,0.0,1263.0,18265.0,8733.0,715.0,48.0,1.0,76.0,0.0,6.0,1.0,4.0,4.0,25.0,12.0,0.0,0.0,0.0,4.0,2.0,3.0,5.0,3.0,80.0,3.0,1.0,3.0
2.0,0.0,1.0,7.0,1.0,2.0,2.0,0.0,1734.0,6735.0,12147.0,964.0,32.0,0.0,34.0,0.0,6.0,1.0,2.0,1.0,10.0,15.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,80.0,3.0,1.0,2.0
1.0,1.0,1.0,6.0,0.0,1.0,2.0,0.0,33.0,3919.0,4681.0,1125.0,32.0,10.0,72.0,7.0,1.0,16.0,1.0,2.0,10.0,22.0,6.0,2.0,0.0,3.0,1.0,5.0,1.0,2.0,80.0,4.0,1.0,1.0
2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1842.0,2956.0,21495.0,359.0,31.0,1.0,89.0,0.0,0.0,18.0,1.0,4.0,2.0,17.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,3.0,80.0,3.0,1.0,5.0
1.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,159.0,2613.0,22310.0,1312.0,30.0,10.0,96.0,9.0,1.0,23.0,3.0,1.0,10.0,25.0,0.0,7.0,3.0,2.0,1.0,2.0,1.0,3.0,80.0,4.0,1.0,3.0
2.0,0.0,4.0,4.0,1.0,1.0,2.0,0.0,845.0,10221.0,18869.0,950.0,35.0,8.0,59.0,6.0,3.0,7.0,3.0,3.0,17.0,21.0,1.0,5.0,0.0,4.0,3.0,3.0,3.0,2.0,80.0,4.0,1.0,3.0
2.0,0.0,3.0,7.0,1.0,2.0,2.0,0.0,125.0,5010.0,24301.0,1093.0,32.0,11.0,87.0,7.0,1.0,6.0,3.0,2.0,12.0,16.0,5.0,8.0,0.0,3.0,3.0,0.0,2.0,1.0,80.0,3.0,1.0,4.0
2.0,0.0,3.0,6.0,0.0,1.0,1.0,0.0,1830.0,6854.0,15696.0,431.0,54.0,7.0,68.0,7.0,4.0,7.0,4.0,4.0,14.0,15.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,80.0,3.0,1.0,4.0
2.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,101.0,13245.0,15067.0,193.0,45.0,0.0,52.0,0.0,4.0,6.0,1.0,4.0,17.0,14.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,2.0,80.0,3.0,1.0,4.0
2.0,1.0,3.0,4.0,0.0,1.0,2.0,0.0,1980.0,4440.0,25198.0,157.0,54.0,5.0,77.0,4.0,6.0,10.0,1.0,3.0,9.0,19.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,4.0,80.0,3.0,1.0,3.0
2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,829.0,2143.0,25527.0,1041.0,36.0,5.0,36.0,4.0,4.0,13.0,2.0,3.0,8.0,13.0,0.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,80.0,3.0,1.0,3.0
2.0,0.0,1.0,6.0,1.0,1.0,2.0,0.0,231.0,3038.0,12430.0,120.0,32.0,5.0,43.0,4.0,3.0,6.0,3.0,3.0,8.0,20.0,1.0,4.0,0.0,3.0,3.0,2.0,1.0,1.0,80.0,4.0,1.0,5.0
0.0,0.0,2.0,7.0,1.0,2.0,1.0,0.0,1731.0,4978.0,3536.0,543.0,47.0,1.0,87.0,0.0,7.0,2.0,2.0,3.0,4.0,11.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,4.0,80.0,3.0,1.0,4.0
2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1435.0,5810.0,22604.0,172.0,36.0,10.0,37.0,8.0,1.0,4.0,4.0,1.0,10.0,16.0,1.0,4.0,0.0,2.0,2.0,2.0,2.0,3.0,80.0,3.0,1.0,4.0
1.0,0.0,1.0,7.0,0.0,2.0,1.0,0.0,532.0,13212.0,18256.0,906.0,56.0,7.0,86.0,7.0,9.0,6.0,1.0,3.0,36.0,11.0,7.0,7.0,3.0,2.0,4.0,0.0,4.0,4.0,80.0,3.0,1.0,3.0
1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1594.0,5562.0,19711.0,1302.0,36.0,3.0,80.0,2.0,3.0,6.0,1.0,1.0,9.0,13.0,0.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,80.0,3.0,1.0,4.0
2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1010.0,3743.0,10074.0,622.0,35.0,4.0,39.0,2.0,1.0,14.0,2.0,3.0,5.0,24.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,80.0,4.0,1.0,4.0
1.0,0.0,3.0,6.0,1.0,1.0,2.0,0.0,1648.0,2580.0,6297.0,591.0,27.0,4.0,87.0,2.0,2.0,2.0,4.0,4.0,6.0,13.0,1.0,2.0,0.0,2.0,3.0,0.0,1.0,3.0,80.0,3.0,1.0,3.0
1.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,85.0,6499.0,22656.0,1195.0,36.0,6.0,95.0,3.0,1.0,11.0,2.0,2.0,6.0,13.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,3.0,80.0,3.0,1.0,3.0
2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,961.0,5855.0,17369.0,616.0,31.0,9.0,41.0,5.0,0.0,12.0,4.0,4.0,10.0,11.0,8.0,7.0,2.0,1.0,3.0,2.0,2.0,3.0,80.0,3.0,1.0,3.0
2.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,524.0,4306.0,4156.0,480.0,31.0,13.0,31.0,12.0,1.0,7.0,1.0,2.0,13.0,12.0,3.0,10.0,1.0,1.0,3.0,5.0,2.0,2.0,80.0,3.0,1.0,2.0
2.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,575.0,17861.0,2288.0,1009.0,46.0,3.0,51.0,1.0,6.0,2.0,3.0,1.0,26.0,13.0,0.0,2.0,0.0,1.0,3.0,2.0,4.0,3.0,80.0,3.0,1.0,3.0
2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,517.0,2576.0,20490.0,201.0,42.0,5.0,95.0,2.0,3.0,1.0,1.0,2.0,8.0,16.0,1.0,2.0,1.0,3.0,3.0,5.0,1.0,2.0,80.0,3.0,1.0,4.0
2.0,1.0,1.0,4.0,0.0,1.0,2.0,0.0,1641.0,7945.0,19948.0,448.0,40.0,4.0,84.0,3.0,6.0,16.0,4.0,3.0,18.0,15.0,3.0,2.0,0.0,2.0,3.0,2.0,3.0,4.0,80.0,3.0,1.0,3.0
2.0,0.0,5.0,6.0,0.0,1.0,1.0,0.0,887.0,3580.0,10554.0,1418.0,49.0,4.0,36.0,2.0,2.0,1.0,1.0,3.0,7.0,16.0,0.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,80.0,3.0,1.0,3.0
2.0,1.0,3.0,6.0,0.0,1.0,1.0,0.0,214.0,3346.0,11873.0,1145.0,58.0,1.0,75.0,0.0,4.0,9.0,2.0,2.0,9.0,20.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,80.0,4.0,1.0,3.0
2.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,491.0,10496.0,2755.0,1046.0,50.0,4.0,100.0,3.0,6.0,10.0,4.0,4.0,20.0,15.0,1.0,3.0,0.0,3.0,2.0,2.0,3.0,4.0,80.0,3.0,1.0,3.0
2.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,787.0,19859.0,21199.0,725.0,55.0,5.0,78.0,4.0,5.0,2.0,1.0,4.0,24.0,13.0,1.0,2.0,1.0,3.0,3.0,2.0,5.0,4.0,80.0,3.0,1.0,3.0
2.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,18.0,2661.0,8758.0,1346.0,34.0,2.0,93.0,2.0,0.0,19.0,4.0,2.0,3.0,11.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,80.0,3.0,1.0,2.0
1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,1053.0,2042.0,15346.0,342.0,26.0,3.0,57.0,2.0,6.0,2.0,1.0,1.0,6.0,14.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,80.0,3.0,1.0,3.0
2.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1369.0,5363.0,10846.0,817.0,35.0,9.0,60.0,0.0,0.0,1.0,4.0,4.0,10.0,12.0,0.0,7.0,1.0,3.0,2.0,0.0,2.0,2.0,80.0,3.0,1.0,3.0
1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,987.0,5067.0,6759.0,1379.0,47.0,19.0,64.0,7.0,1.0,16.0,3.0,3.0,20.0,19.0,2.0,10.0,0.0,4.0,4.0,3.0,2.0,3.0,80.0,3.0,1.0,4.0
2.0,0.0,2.0,7.0,1.0,2.0,1.0,0.0,1066.0,8396.0,22217.0,300.0,40.0,7.0,74.0,5.0,1.0,26.0,1.0,3.0,8.0,14.0,7.0,7.0,1.0,2.0,3.0,3.0,2.0,2.0,80.0,3.0,1.0,3.0
0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,2022.0,19431.0,15302.0,105.0,39.0,6.0,87.0,3.0,2.0,9.0,4.0,4.0,21.0,13.0,1.0,0.0,0.0,2.0,3.0,3.0,5.0,3.0,80.0,3.0,1.0,3.0
0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,148.0,17328.0,13871.0,142.0,54.0,5.0,30.0,4.0,2.0,26.0,4.0,4.0,23.0,12.0,4.0,3.0,0.0,3.0,4.0,3.0,4.0,3.0,80.0,3.0,1.0,3.0
1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,644.0,18200.0,7999.0,1246.0,50.0,32.0,99.0,7.0,1.0,3.0,2.0,1.0,32.0,11.0,10.0,5.0,1.0,3.0,3.0,2.0,5.0,3.0,80.0,3.0,1.0,3.0
2.0,0.0,5.0,6.0,0.0,1.0,1.0,0.0,1265.0,2585.0,21643.0,1320.0,34.0,1.0,89.0,0.0,0.0,20.0,3.0,3.0,2.0,17.0,0.0,0.0,0.0,2.0,4.0,5.0,1.0,4.0,80.0,3.0,1.0,3.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2049.0,5689.0,24594.0,1199.0,35.0,10.0,80.0,2.0,1.0,18.0,3.0,3.0,10.0,14.0,0.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,80.0,3.0,1.0,4.0
2.0,1.0,2.0,7.0,0.0,2.0,1.0,0.0,846.0,4779.0,3698.0,760.0,28.0,8.0,81.0,5.0,1.0,2.0,2.0,2.0,8.0,20.0,7.0,7.0,0.0,3.0,3.0,2.0,2.0,1.0,80.0,4.0,1.0,4.0
2.0,0.0,3.0,6.0,0.0,1.0,1.0,0.0,865.0,5175.0,22162.0,638.0,32.0,5.0,91.0,3.0,5.0,8.0,3.0,3.0,9.0,12.0,1.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,80.0,3.0,1.0,2.0
0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,22.0,2935.0,7324.0,1123.0,22.0,1.0,96.0,0.0,1.0,16.0,4.0,4.0,1.0,13.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,80.0,3.0,1.0,2.0
2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1860.0,3968.0,13624.0,1142.0,42.0,0.0,81.0,0.0,4.0,8.0,3.0,4.0,8.0,13.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,4.0,80.0,3.0,1.0,3.0
1.0,0.0,5.0,7.0,0.0,2.0,2.0,0.0,1487.0,5765.0,17485.0,115.0,29.0,5.0,51.0,0.0,5.0,13.0,2.0,1.0,7.0,11.0,0.0,3.0,0.0,1.0,3.0,4.0,2.0,1.0,80.0,3.0,1.0,3.0
0.0,0.0,3.0,7.0,0.0,2.0,2.0,0.0,479.0,6653.0,15276.0,845.0,36.0,1.0,45.0,0.0,4.0,1.0,4.0,4.0,7.0,15.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,2.0,80.0,3.0,1.0,5.0
2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1802.0,3377.0,25605.0,616.0,40.0,4.0,99.0,2.0,4.0,2.0,1.0,3.0,7.0,17.0,0.0,3.0,1.0,2.0,3.0,5.0,1.0,4.0,80.0,3.0,1.0,2.0
0.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,224.0,2566.0,25326.0,1450.0,27.0,1.0,79.0,1.0,1.0,3.0,3.0,3.0,1.0,15.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,80.0,3.0,1.0,3.0
2.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,1611.0,5769.0,23447.0,1015.0,45.0,10.0,50.0,4.0,1.0,5.0,1.0,3.0,10.0,14.0,1.0,7.0,0.0,3.0,1.0,3.0,2.0,1.0,80.0,3.0,1.0,5.0
2.0,0.0,4.0,6.0,1.0,1.0,2.0,0.0,949.0,4678.0,23293.0,188.0,36.0,6.0,65.0,1.0,2.0,7.0,4.0,2.0,8.0,18.0,0.0,2.0,0.0,3.0,3.0,6.0,1.0,3.0,80.0,3.0,1.0,4.0
2.0,0.0,3.0,7.0,1.0,2.0,0.0,0.0,618.0,4306.0,4267.0,775.0,26.0,0.0,45.0,0.0,5.0,29.0,3.0,1.0,8.0,12.0,0.0,0.0,2.0,3.0,3.0,5.0,2.0,1.0,80.0,3.0,1.0,2.0
2.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,1684.0,3989.0,20586.0,1320.0,23.0,5.0,93.0,2.0,1.0,8.0,3.0,4.0,5.0,11.0,1.0,4.0,0.0,3.0,2.0,2.0,1.0,1.0,80.0,3.0,1.0,1.0
2.0,0.0,3.0,7.0,1.0,2.0,0.0,0.0,1076.0,10798.0,5268.0,415.0,43.0,1.0,79.0,0.0,5.0,25.0,4.0,3.0,18.0,13.0,0.0,0.0,1.0,3.0,2.0,5.0,3.0,3.0,80.0,3.0,1.0,3.0
2.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,1311.0,4627.0,23631.0,1138.0,30.0,9.0,48.0,7.0,0.0,6.0,4.0,1.0,10.0,12.0,6.0,2.0,1.0,3.0,2.0,6.0,2.0,1.0,80.0,3.0,1.0,3.0
2.0,0.0,3.0,6.0,0.0,1.0,1.0,0.0,2051.0,2001.0,12549.0,1194.0,40.0,5.0,98.0,2.0,2.0,2.0,3.0,3.0,20.0,14.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,80.0,3.0,1.0,4.0
2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1014.0,10388.0,6975.0,583.0,35.0,16.0,57.0,1.0,1.0,25.0,3.0,3.0,16.0,11.0,10.0,10.0,1.0,2.0,3.0,3.0,3.0,3.0,80.0,3.0,1.0,4.0
1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1850.0,2379.0,19826.0,1297.0,27.0,5.0,53.0,2.0,0.0,5.0,4.0,4.0,6.0,14.0,0.0,4.0,0.0,2.0,3.0,3.0,1.0,3.0,80.0,3.0,1.0,2.0
1.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,1382.0,2610.0,15748.0,693.0,38.0,4.0,57.0,3.0,1.0,7.0,3.0,4.0,4.0,11.0,0.0,2.0,3.0,3.0,4.0,2.0,1.0,4.0,80.0,3.0,1.0,3.0
2.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,836.0,4434.0,11806.0,933.0,42.0,9.0,98.0,8.0,1.0,29.0,2.0,2.0,10.0,13.0,7.0,8.0,1.0,2.0,3.0,3.0,2.0,4.0,80.0,3.0,1.0,3.0
2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,515.0,3034.0,26914.0,1107.0,37.0,18.0,95.0,17.0,1.0,14.0,1.0,4.0,18.0,12.0,12.0,7.0,1.0,2.0,3.0,2.0,1.0,3.0,80.0,3.0,1.0,3.0
2.0,0.0,5.0,6.0,1.0,1.0,1.0,0.0,1438.0,3420.0,10205.0,465.0,47.0,6.0,74.0,2.0,7.0,1.0,4.0,1.0,17.0,12.0,1.0,5.0,1.0,2.0,3.0,2.0,1.0,3.0,80.0,3.0,1.0,3.0
2.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1201.0,18606.0,18640.0,1223.0,53.0,7.0,50.0,7.0,3.0,7.0,3.0,4.0,26.0,18.0,4.0,7.0,1.0,3.0,3.0,6.0,5.0,2.0,80.0,3.0,1.0,2.0
2.0,0.0,3.0,5.0,1.0,1.0,2.0,0.0,102.0,13664.0,25258.0,397.0,37.0,5.0,30.0,2.0,4.0,7.0,3.0,1.0,16.0,13.0,0.0,2.0,0.0,4.0,3.0,3.0,3.0,1.0,80.0,3.0,1.0,4.0
2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,11.0,2693.0,13335.0,1358.0,30.0,1.0,67.0,0.0,1.0,24.0,3.0,4.0,1.0,22.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,2.0,80.0,4.0,1.0,1.0
0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,26.0,4011.0,8232.0,673.0,24.0,4.0,96.0,3.0,0.0,11.0,3.0,1.0,5.0,18.0,1.0,2.0,1.0,2.0,4.0,5.0,2.0,4.0,80.0,3.0,1.0,2.0
1.0,0.0,1.0,7.0,1.0,2.0,2.0,0.0,56.0,8726.0,2975.0,994.0,27.0,9.0,37.0,7.0,1.0,8.0,3.0,4.0,9.0,15.0,1.0,8.0,0.0,3.0,3.0,0.0,3.0,4.0,80.0,3.0,1.0,3.0
2.0,0.0,1.0,7.0,0.0,2.0,1.0,0.0,1673.0,5476.0,22589.0,1112.0,31.0,10.0,67.0,2.0,1.0,5.0,4.0,1.0,10.0,11.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,80.0,3.0,1.0,4.0
2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1501.0,4035.0,16143.0,1229.0,55.0,3.0,30.0,2.0,0.0,4.0,3.0,4.0,4.0,16.0,1.0,2.0,0.0,3.0,3.0,2.0,2.0,2.0,80.0,3.0,1.0,4.0
2.0,0.0,1.0,7.0,0.0,2.0,1.0,0.0,1165.0,7336.0,11162.0,408.0,29.0,11.0,45.0,10.0,1.0,23.0,1.0,4.0,11.0,13.0,3.0,8.0,1.0,1.0,2.0,3.0,3.0,1.0,80.0,3.0,1.0,1.0
2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1019.0,2451.0,6881.0,217.0,22.0,4.0,94.0,1.0,1.0,8.0,1.0,2.0,4.0,15.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,80.0,3.0,1.0,1.0
2.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,560.0,2886.0,3032.0,1349.0,26.0,3.0,90.0,2.0,1.0,23.0,4.0,1.0,3.0,22.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,80.0,4.0,1.0,3.0
2.0,0.0,2.0,7.0,1.0,2.0,1.0,0.0,215.0,10855.0,8552.0,630.0,40.0,12.0,67.0,11.0,7.0,4.0,4.0,3.0,15.0,11.0,2.0,11.0,1.0,2.0,2.0,2.0,3.0,1.0,80.0,3.0,1.0,4.0
2.0,0.0,1.0,6.0,1.0,1.0,2.0,0.0,242.0,2500.0,10515.0,134.0,33.0,3.0,90.0,2.0,0.0,2.0,4.0,3.0,4.0,14.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,80.0,3.0,1.0,3.0
2.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,1069.0,19627.0,21445.0,430.0,46.0,2.0,40.0,2.0,9.0,1.0,4.0,4.0,23.0,17.0,2.0,2.0,2.0,3.0,3.0,0.0,5.0,4.0,80.0,3.0,1.0,4.0
2.0,0.0,2.0,7.0,1.0,2.0,1.0,0.0,641.0,6272.0,7428.0,703.0,26.0,5.0,66.0,4.0,1.0,28.0,2.0,1.0,6.0,20.0,1.0,3.0,2.0,4.0,3.0,5.0,2.0,4.0,80.0,4.0,1.0,2.0
2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1865.0,2804.0,15434.0,352.0,29.0,1.0,87.0,0.0,1.0,6.0,2.0,4.0,1.0,11.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,4.0,80.0,3.0,1.0,1.0
2.0,0.0,1.0,7.0,1.0,2.0,0.0,0.0,1453.0,10793.0,8386.0,326.0,31.0,13.0,31.0,9.0,1.0,8.0,4.0,1.0,13.0,18.0,9.0,7.0,1.0,3.0,3.0,5.0,3.0,1.0,80.0,3.0,1.0,2.0
1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1285.0,4444.0,22534.0,135.0,34.0,11.0,46.0,10.0,4.0,19.0,2.0,3.0,15.0,13.0,5.0,8.0,2.0,4.0,3.0,2.0,2.0,3.0,80.0,3.0,1.0,3.0
2.0,1.0,3.0,6.0,1.0,1.0,1.0,0.0,2027.0,4787.0,26124.0,1092.0,29.0,2.0,36.0,2.0,9.0,1.0,4.0,1.0,4.0,14.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,80.0,3.0,1.0,4.0
2.0,0.0,3.0,6.0,1.0,1.0,2.0,0.0,1623.0,3117.0,26009.0,546.0,21.0,2.0,97.0,2.0,1.0,5.0,4.0,3.0,3.0,18.0,2.0,2.0,0.0,3.0,3.0,2.0,1.0,3.0,80.0,3.0,1.0,1.0
2.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,601.0,13237.0,20364.0,302.0,40.0,20.0,75.0,13.0,7.0,6.0,3.0,2.0,22.0,15.0,5.0,6.0,0.0,3.0,3.0,3.0,4.0,3.0,80.0,3.0,1.0,3.0
1.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,269.0,4425.0,15986.0,138.0,35.0,6.0,37.0,2.0,5.0,2.0,2.0,2.0,10.0,11.0,1.0,2.0,0.0,3.0,3.0,5.0,2.0,4.0,80.0,3.0,1.0,3.0
2.0,1.0,3.0,7.0,0.0,2.0,0.0,0.0,121.0,5209.0,19760.0,1334.0,30.0,11.0,63.0,7.0,1.0,4.0,2.0,3.0,11.0,12.0,2.0,8.0,3.0,2.0,2.0,4.0,2.0,2.0,80.0,3.0,1.0,2.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1630.0,4148.0,12250.0,208.0,35.0,14.0,52.0,9.0,1.0,8.0,3.0,3.0,15.0,12.0,2.0,11.0,1.0,3.0,3.0,5.0,2.0,4.0,80.0,3.0,1.0,4.0
2.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,339.0,5957.0,23687.0,470.0,34.0,11.0,84.0,9.0,6.0,2.0,1.0,4.0,13.0,13.0,5.0,9.0,1.0,3.0,2.0,3.0,2.0,2.0,80.0,3.0,1.0,4.0
1.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,202.0,5605.0,8504.0,1395.0,40.0,20.0,54.0,13.0,1.0,26.0,2.0,2.0,20.0,11.0,2.0,7.0,1.0,3.0,3.0,2.0,2.0,1.0,80.0,3.0,1.0,3.0
0.0,0.0,1.0,7.0,1.0,2.0,2.0,0.0,1801.0,7991.0,25166.0,849.0,46.0,2.0,98.0,2.0,8.0,26.0,2.0,2.0,6.0,15.0,2.0,2.0,0.0,3.0,2.0,3.0,2.0,3.0,80.0,3.0,1.0,2.0
