empid,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,left
2135,0.48,0.8,4,268,3,0,0,medium,0
1026,0.4,0.45,2,142,3,0,0,low,1
2924,0.83,0.57,4,232,3,0,0,medium,0
3136,0.73,0.87,3,142,3,0,0,low,0
1639,0.42,0.55,2,146,3,0,0,low,1
3495,0.92,0.93,4,247,2,0,0,medium,0
17,0.45,0.47,2,160,3,0,0,low,1
2728,0.15,0.56,6,140,5,0,0,medium,0
3476,0.63,0.54,3,145,2,1,0,low,0
2075,0.45,0.66,3,111,4,0,0,low,0
4243,0.73,0.91,3,238,2,0,0,medium,0
2933,0.22,0.44,3,166,6,0,0,low,0
1070,0.1,0.89,6,244,4,1,0,low,1
66,0.81,0.7,6,161,4,0,0,medium,1
4785,0.3,0.68,3,229,6,0,0,medium,0
2512,0.5,0.78,3,228,2,0,0,low,0
4740,0.48,0.53,3,113,4,0,0,medium,0
4274,0.56,0.81,5,274,4,0,0,medium,0
282,0.27,0.56,3,301,3,0,0,low,1
1346,0.38,1.0,5,137,4,0,0,low,1
195,0.89,0.95,4,275,5,0,0,medium,1
3269,0.74,0.63,4,170,2,0,0,medium,0
4716,0.63,0.57,5,160,2,0,0,low,0
1755,0.44,0.52,2,137,3,0,0,medium,1
3010,0.95,0.71,3,251,2,1,0,low,0
2287,0.56,0.64,3,260,3,0,0,medium,0
2079,0.69,0.57,5,245,2,1,0,low,0
4319,0.84,0.9,4,237,2,0,0,low,0
4070,0.83,0.69,4,232,2,0,0,low,0
2390,0.93,0.63,3,160,4,1,0,low,0
2951,0.5,0.73,4,237,2,0,0,medium,0
530,0.39,0.57,2,145,3,0,0,medium,1
3704,0.68,0.7,3,209,3,0,0,high,0
2168,0.92,0.84,4,208,2,0,0,medium,0
3132,0.58,0.66,3,250,5,0,0,low,0
1173,0.45,0.49,2,144,3,0,0,low,1
499,0.44,0.48,2,143,3,0,0,medium,1
3023,0.82,0.63,4,232,4,0,0,low,0
2484,0.94,0.78,3,184,3,1,0,medium,0
3237,0.17,0.93,5,183,5,0,0,high,0
1714,0.63,0.93,5,163,3,0,0,medium,1
428,0.55,0.6,3,180,4,0,0,medium,1
4724,0.49,0.58,4,213,4,1,0,low,0
4160,0.9,0.62,4,258,3,0,0,medium,0
1494,0.38,0.45,2,151,3,0,0,low,1
2618,0.71,0.51,3,248,4,0,0,low,0
2127,0.73,0.52,4,162,3,0,0,low,0
3251,0.52,0.73,2,233,3,0,0,medium,0
2693,0.68,0.51,4,157,3,0,0,low,0
2600,0.48,0.89,5,179,3,0,0,medium,0
1993,0.15,0.63,7,229,3,0,0,low,1
2015,0.59,0.87,3,268,4,0,0,medium,0
2994,0.66,0.52,3,149,4,1,0,medium,0
2372,0.78,0.98,5,158,2,0,0,medium,0
1208,0.81,0.98,5,237,5,0,0,medium,1
3972,0.2,0.97,6,224,5,1,0,medium,0
3955,0.7,0.84,2,114,4,0,0,low,0
4181,0.7,0.85,3,188,2,0,0,medium,0
1926,0.73,0.97,6,189,2,0,0,low,1
33,0.4,0.51,2,145,3,0,0,low,1
4190,0.61,0.5,4,217,4,1,0,medium,0
3257,0.95,0.5,4,242,2,0,0,medium,0
1708,0.43,0.51,2,131,3,0,0,medium,1
2395,0.94,0.93,4,220,3,0,0,low,0
1672,0.42,0.54,2,143,3,0,0,high,1
4105,0.65,0.49,4,184,4,0,0,medium,0
1085,0.77,0.83,4,245,5,0,0,medium,1
517,0.1,0.89,6,247,4,0,0,low,1
736,0.83,0.99,5,258,5,0,0,high,1
131,0.1,0.83,6,292,4,0,0,low,1
4087,0.16,0.84,3,238,6,0,0,medium,0
3908,1.0,0.81,5,243,3,0,0,low,0
2765,0.69,0.65,4,232,2,1,0,low,0
1569,0.41,0.47,2,145,3,0,0,low,1
2223,0.26,0.63,6,100,4,0,0,medium,0
539,0.87,1.0,5,261,5,1,0,medium,1
4552,0.53,0.74,5,237,2,0,1,medium,0
1987,0.84,0.82,5,240,5,0,0,medium,1
402,0.76,0.92,4,246,5,0,0,low,1
64,0.36,0.56,2,132,3,0,0,medium,1
3062,0.48,0.39,4,272,3,0,0,low,0
69,0.76,0.86,5,223,5,1,0,medium,1
2720,0.61,0.77,4,142,3,0,0,medium,0
3966,0.86,0.67,5,200,3,0,0,medium,0
2856,0.86,0.86,3,155,4,0,0,low,0
2222,0.78,0.81,4,232,3,0,0,medium,0
1808,0.11,0.94,7,280,5,0,0,low,1
658,0.43,0.55,2,130,3,0,0,high,1
4777,0.63,0.64,3,243,3,0,0,medium,0
2455,0.72,0.79,3,149,3,0,0,medium,0
296,0.38,0.51,2,146,3,0,0,medium,1
2031,0.85,0.59,3,235,3,0,0,low,0
1252,0.43,0.57,2,151,3,1,0,low,1
2374,0.38,0.69,3,99,3,1,0,high,0
2635,0.44,0.42,4,159,4,0,0,medium,0
1538,0.4,0.57,2,152,3,0,0,low,1
2204,0.85,0.57,4,216,2,0,0,low,0
1378,0.11,0.86,6,273,4,1,0,low,1
190,0.44,0.51,2,156,3,0,0,high,1
3235,0.84,0.79,6,140,2,0,0,high,0
820,0.45,0.51,2,138,3,0,0,low,1
4355,0.84,0.58,3,140,3,0,0,medium,0
3609,0.89,0.66,5,224,2,0,0,medium,0
4448,0.71,0.92,4,248,3,1,0,low,0
42,0.45,0.48,2,158,3,0,0,low,1
3166,0.81,0.83,4,259,3,1,0,low,0
3709,0.75,0.73,3,225,4,0,0,low,0
3589,0.72,0.76,4,144,3,1,0,low,0
3947,0.52,0.92,4,150,2,1,0,low,0
2288,0.29,0.56,5,231,6,0,0,medium,0
1659,0.81,0.97,5,230,5,0,0,low,1
4972,0.63,0.74,4,155,2,0,0,medium,0
760,0.41,0.55,2,151,3,0,0,low,1
925,0.42,0.56,2,147,3,0,0,medium,1
4810,0.86,0.53,4,160,2,1,0,medium,0
4006,0.56,0.48,4,197,3,1,0,high,0
966,0.8,0.63,5,180,5,0,0,medium,1
1244,0.82,0.85,4,274,5,0,0,low,1
2988,0.54,0.58,4,206,3,0,0,medium,0
4744,0.78,0.54,5,257,3,0,0,high,0
2152,0.79,0.99,3,194,4,0,0,low,0
449,0.36,0.48,2,159,3,0,0,low,1
4611,0.89,0.98,3,220,3,0,0,low,0
4609,0.88,0.84,3,266,3,0,0,low,0
81,0.45,0.54,2,140,3,0,0,low,1
3646,0.8,0.64,4,246,3,1,0,medium,0
3119,0.5,0.77,3,166,3,0,0,medium,0
1052,0.09,0.92,6,261,4,0,0,medium,1
213,0.88,1.0,5,219,5,0,0,low,1
3387,0.56,0.73,4,134,3,0,0,medium,0
1272,0.11,0.97,6,288,4,0,0,medium,1
4252,0.7,0.56,4,182,2,0,0,low,0
382,0.38,0.46,2,145,3,0,0,medium,1
3340,0.88,0.98,3,263,3,1,0,high,0
983,0.85,0.97,4,266,6,0,0,low,1
2478,0.81,0.83,3,196,2,0,0,low,0
4588,0.49,0.71,2,117,3,0,0,high,0
2251,0.16,0.9,5,258,3,0,0,medium,0
1968,0.41,0.47,2,143,3,1,0,low,1
814,0.15,0.55,6,139,4,0,0,high,1
2229,0.89,0.68,3,175,2,0,0,low,0
188,0.4,0.46,2,143,3,0,0,medium,1
429,0.37,0.45,2,126,3,0,0,medium,1
2211,0.43,0.39,5,198,5,0,0,medium,0
1199,0.09,0.8,6,298,4,0,0,medium,1
550,0.41,0.47,2,138,3,0,0,low,1
3456,0.59,0.81,4,173,2,0,0,medium,0
4813,0.15,0.91,2,207,3,0,0,medium,0
3658,0.78,0.91,3,238,2,0,0,high,0
3377,0.81,0.83,3,132,4,0,0,medium,0
1201,0.83,1.0,5,263,5,0,0,medium,1
1613,0.43,0.55,4,134,3,0,0,low,1
1805,0.38,0.51,2,137,3,0,0,low,1
4053,0.45,0.92,6,164,4,1,0,low,0
4146,0.54,0.67,2,129,3,1,0,low,0
2113,0.59,0.81,4,200,2,0,0,low,0
4194,0.81,0.9,4,165,3,0,0,medium,0
1857,0.11,0.92,6,281,4,0,0,medium,1
2061,0.7,0.53,4,178,2,0,0,medium,0
4150,0.62,0.62,4,136,2,0,0,medium,0
1425,0.45,0.48,2,149,3,0,0,low,1
4505,0.35,0.67,3,119,3,0,1,medium,0
2690,0.59,0.71,2,176,2,1,0,medium,0
4172,0.72,0.81,4,134,2,0,0,low,0
724,0.38,0.54,2,135,3,0,0,medium,1
4673,0.58,0.72,4,259,3,0,0,medium,0
1080,0.86,0.95,5,269,6,0,0,medium,1
1223,0.4,0.46,2,134,3,0,0,low,1
939,0.1,0.89,6,246,4,0,0,low,1
3568,0.53,0.85,5,161,2,0,0,medium,0
3415,0.62,0.88,2,263,4,0,0,medium,0
3425,0.71,0.56,4,238,4,0,0,medium,0
4698,0.62,0.49,4,175,3,0,0,medium,0
4997,0.53,0.92,4,223,3,1,0,low,0
1295,0.44,0.55,2,137,3,0,0,low,1
1165,0.11,0.93,7,288,4,0,0,high,1
2330,0.66,0.77,2,171,2,0,0,medium,0
4363,0.76,0.98,4,173,3,1,0,low,0
3993,0.53,0.75,4,201,2,0,0,low,0
2586,0.79,0.57,4,233,2,0,0,low,0
4350,0.52,0.74,3,238,3,0,0,medium,0
3564,0.85,0.89,4,251,2,0,0,low,0
2116,0.42,0.96,3,270,6,0,0,low,0
4643,0.59,0.82,2,233,2,0,0,medium,0
4685,0.65,0.84,4,247,4,0,0,high,0
3942,0.9,0.6,4,252,3,0,0,low,0
1585,0.43,0.46,2,129,3,0,0,medium,1
1217,0.44,0.56,2,127,3,0,0,low,1
3720,0.57,0.45,3,189,2,0,0,medium,0
2245,0.72,0.56,4,176,2,0,0,medium,0
116,0.37,0.48,2,137,3,0,0,medium,1
2275,0.92,0.92,3,159,3,0,0,low,0
4432,0.16,0.52,3,100,4,0,0,medium,0
1355,0.1,0.92,7,273,4,0,0,medium,1
4892,0.95,0.78,3,204,2,1,0,medium,0
4687,0.62,0.77,4,256,3,0,0,high,0
2165,0.97,0.66,4,149,2,0,0,low,0
3372,0.95,0.52,5,222,2,0,0,low,0
3991,0.89,0.93,4,249,3,0,0,low,0
3661,0.88,0.59,6,243,4,0,0,high,0
1873,0.1,0.87,7,251,5,0,0,low,1
3086,0.63,0.76,4,245,3,0,0,low,0
4333,0.98,0.76,4,221,3,1,0,low,0
738,0.42,0.56,2,143,3,0,0,medium,1
4958,0.78,0.55,3,144,2,0,0,low,0
2775,0.88,0.63,3,257,3,0,0,low,0
3318,0.68,0.99,3,247,2,1,0,low,0
4518,0.25,0.59,4,218,3,1,0,low,0
4849,0.14,0.83,5,171,6,0,0,medium,0
4205,0.51,0.94,4,247,2,0,0,medium,0
3278,0.86,0.59,3,215,3,0,0,medium,0
3685,0.76,0.56,4,214,2,1,0,medium,0
1592,0.41,0.55,2,159,3,0,0,medium,1
1484,0.11,0.87,6,254,4,0,0,low,1
1262,0.44,0.56,2,145,3,0,0,low,1
2943,0.72,0.85,3,186,4,0,0,low,0
2875,0.54,0.95,3,221,3,0,0,medium,0
4366,0.6,0.93,5,270,3,1,0,low,0
854,0.45,0.52,2,160,3,0,0,low,1
3488,0.14,0.46,2,267,6,1,0,low,0
3923,0.69,0.67,3,178,2,0,0,medium,0
2970,0.31,0.86,3,205,5,0,0,low,0
1932,0.43,0.51,2,128,3,0,0,low,1
968,0.85,0.92,4,275,5,0,0,medium,1
4936,0.67,0.71,4,173,3,0,0,high,0
1242,0.43,0.53,2,148,3,0,0,medium,1
2571,0.8,0.96,3,257,5,0,0,medium,0
2230,0.57,0.78,3,109,3,1,0,low,0
252,0.79,0.92,5,254,6,0,0,low,1
352,0.48,0.93,3,219,6,0,0,low,1
3710,0.69,0.78,5,267,2,1,0,low,0
1408,0.81,1.0,4,241,5,0,0,low,1
3338,0.55,0.55,3,197,3,0,0,high,0
74,0.09,0.87,7,295,4,0,0,low,1
4623,0.97,0.68,3,185,2,0,0,medium,0
4710,0.56,0.92,5,222,4,0,0,medium,0
1329,0.1,0.96,7,301,4,0,0,low,1
4465,0.6,0.65,5,201,2,0,0,medium,0
4420,0.83,0.53,3,232,3,1,0,low,0
710,0.42,0.48,2,140,3,0,0,low,1
4310,0.89,0.71,5,182,2,1,0,medium,0
2938,0.91,0.7,4,196,2,0,0,low,0
1125,0.43,0.52,2,141,3,0,0,medium,1
1529,0.41,0.56,2,160,3,0,0,low,1
4351,0.94,0.68,5,151,2,0,0,medium,0
4754,1.0,0.84,3,154,3,0,0,medium,0
2218,0.56,0.97,5,163,2,0,0,high,0
656,0.77,1.0,4,232,5,0,0,medium,1
40,0.41,0.54,2,152,3,0,0,low,1
4703,0.77,0.61,4,178,2,1,0,high,0
4758,0.85,0.84,5,179,3,0,0,low,0
643,0.73,0.97,5,235,5,0,0,low,1
2990,0.44,0.9,4,117,3,0,0,medium,0
3108,0.74,0.96,4,154,4,0,0,medium,0
3566,0.63,0.86,3,269,4,0,0,low,0
2083,0.33,0.45,6,239,3,0,0,low,0
2214,0.65,0.93,4,270,2,0,0,medium,0
173,0.11,0.78,7,278,4,0,0,low,1
1130,0.11,0.93,6,290,4,0,0,medium,1
2925,0.69,0.55,5,242,2,0,0,medium,0
93,0.42,0.48,2,143,3,0,0,low,1
4650,0.19,0.64,6,222,5,0,0,medium,0
3950,0.69,0.96,5,164,3,0,0,low,0
3557,0.75,0.66,4,202,2,0,0,low,0
3727,0.63,0.85,3,232,4,0,0,medium,0
512,0.53,0.85,2,164,5,0,0,low,1
2495,0.94,0.91,3,163,3,0,0,medium,0
149,0.84,0.88,4,263,5,1,0,low,1
4606,0.85,0.57,5,210,3,0,0,low,0
2414,0.56,0.76,4,189,2,0,0,low,0
